"","part_id","diaryday","work_loc","largegroup","social_cont"
"150",75,"First day","telecommute","No",1
"151",76,"Second day","telecommute","No",1
"152",76,"First day","telecommute","No",0
"153",77,"Second day","telecommute","No",5
"154",77,"First day","telecommute","No",4
"155",78,"Second day","telecommute","No",0
"156",78,"First day","both","Yes",2
"157",79,"First day","telecommute","No",0
"158",79,"Second day","telecommute","No",0
"159",80,"Second day","telecommute","No",1
"160",80,"First day","telecommute","No",1
"161",81,"First day","telecommute","No",1
"162",81,"Second day","telecommute","No",0
"163",82,"Second day","telecommute","No",1
"164",82,"First day","telecommute","No",1
"165",83,"First day","telecommute","No",2
"166",83,"Second day","telecommute","No",5
"167",84,"First day","telecommute","Yes",2
"168",84,"Second day","telecommute","No",1
"169",85,"Second day","telecommute","No",4
"170",85,"First day","telecommute","Yes",5
"171",86,"Second day","telecommute","Yes",2
"172",86,"First day","telecommute","No",0
"173",87,"First day","telecommute","Yes",2
"174",87,"Second day","telecommute","No",0
"175",88,"First day","telecommute","No",2
"176",88,"Second day","office","Yes",3
"177",89,"First day","telecommute","Yes",0
"178",89,"Second day","telecommute","No",0
"179",90,"First day","telecommute","No",2
"180",90,"Second day","telecommute","No",2
"181",91,"Second day","telecommute","No",2
"182",91,"First day","telecommute","Yes",3
"183",92,"Second day",NA,"No",1
"184",92,"First day","telecommute","Yes",5
"185",93,"Second day","telecommute","Yes",3
"186",93,"First day","telecommute","Yes",2
"187",94,"Second day","telecommute","Yes",1
"188",94,"First day","telecommute","No",0
"189",95,"First day","telecommute","Yes",1
"190",95,"Second day","telecommute","No",0
"191",96,"Second day","telecommute","No",1
"192",96,"First day","telecommute","No",1
"193",97,"Second day","telecommute","No",3
"194",97,"First day","telecommute","Yes",4
"195",98,"First day","telecommute","No",3
"196",98,"Second day","telecommute","No",3
"197",99,"Second day","telecommute","Yes",3
"198",99,"First day","telecommute","Yes",1
"199",100,"First day","telecommute","Yes",3
"200",100,"Second day","telecommute","No",2
"201",101,"Second day","telecommute","No",3
"202",101,"First day","telecommute","No",3
"203",102,"First day",NA,"Yes",1
"204",102,"Second day","telecommute","Yes",1
"205",103,"Second day","telecommute","No",2
"206",103,"First day","telecommute","No",4
"207",104,"Second day","telecommute","Yes",4
"208",104,"First day","telecommute","No",2
"209",105,"First day","telecommute","Yes",3
"210",105,"Second day","telecommute","Yes",4
"211",106,"First day","telecommute","No",0
"212",106,"Second day","telecommute","No",0
"213",107,"First day",NA,"No",3
"214",107,"Second day",NA,"Yes",7
"215",108,"First day","telecommute","Yes",4
"216",108,"Second day","telecommute","Yes",8
"217",109,"Second day","telecommute","No",5
"218",109,"First day","telecommute","Yes",8
"219",110,"First day","telecommute","No",0
"220",110,"Second day","telecommute","Yes",2
"221",111,"Second day","office","No",4
"222",111,"First day","telecommute","No",6
"223",112,"First day","telecommute","Yes",4
"224",112,"Second day","telecommute","Yes",2
"225",113,"First day",NA,"Yes",1
"226",113,"Second day",NA,"Yes",1
"227",114,"Second day","telecommute","No",1
